station,name,date,latitude,longitude,elevation,precipitation
CA001101158,BURNABY SIMON FRASER U,1/1/2016,49.2833,-122.9167,366,0
CA001101158,BURNABY SIMON FRASER U,1/2/2016,49.2833,-122.9167,366,0
CA001101158,BURNABY SIMON FRASER U,1/3/2016,49.2833,-122.9167,366,10
CA001101158,BURNABY SIMON FRASER U,1/4/2016,49.2833,-122.9167,366,15
CA001101158,BURNABY SIMON FRASER U,1/5/2016,49.2833,-122.9167,366,80
CA001101158,BURNABY SIMON FRASER U,1/7/2016,49.2833,-122.9167,366,10
CA001101158,BURNABY SIMON FRASER U,1/8/2016,49.2833,-122.9167,366,6
CA001101158,BURNABY SIMON FRASER U,1/9/2016,49.2833,-122.9167,366,0
CA001101158,BURNABY SIMON FRASER U,1/10/2016,49.2833,-122.9167,366,0
CA001101158,BURNABY SIMON FRASER U,1/11/2016,49.2833,-122.9167,366,85
CA001101158,BURNABY SIMON FRASER U,1/12/2016,49.2833,-122.9167,366,56
CA001101158,BURNABY SIMON FRASER U,1/13/2016,49.2833,-122.9167,366,8
CA001101158,BURNABY SIMON FRASER U,1/14/2016,49.2833,-122.9167,366,4
CA001101158,BURNABY SIMON FRASER U,1/15/2016,49.2833,-122.9167,366,4
CA001101158,BURNABY SIMON FRASER U,1/16/2016,49.2833,-122.9167,366,104
CA001101158,BURNABY SIMON FRASER U,1/17/2016,49.2833,-122.9167,366,96
CA001101158,BURNABY SIMON FRASER U,1/18/2016,49.2833,-122.9167,366,42
CA001101158,BURNABY SIMON FRASER U,1/19/2016,49.2833,-122.9167,366,5
CA001101158,BURNABY SIMON FRASER U,1/20/2016,49.2833,-122.9167,366,0
CA001101158,BURNABY SIMON FRASER U,1/21/2016,49.2833,-122.9167,366,223
CA001101158,BURNABY SIMON FRASER U,1/22/2016,49.2833,-122.9167,366,18
CA001101158,BURNABY SIMON FRASER U,1/23/2016,49.2833,-122.9167,366,46
CA001101158,BURNABY SIMON FRASER U,1/24/2016,49.2833,-122.9167,366,22
CA001101158,BURNABY SIMON FRASER U,1/25/2016,49.2833,-122.9167,366,34
CA001101158,BURNABY SIMON FRASER U,1/26/2016,49.2833,-122.9167,366,318
